种群规模,交叉率,变异率,选择策略,交叉策略,变异策略,最短距离,耗时(秒)
100,0.9,0.05,default,obx,swap,599.44,4.929
100,0.9,0.05,default,obx,inverse,608.42,5.006
100,0.9,0.05,truncation,ox,swap,561.1,6.151
100,0.9,0.05,truncation,ox,inverse,529.11,6.111
100,0.9,0.05,truncation,obx,swap,608.95,5.0
100,0.9,0.05,truncation,obx,inverse,486.13,5.057
100,0.9,0.05,tournament,ox,swap,510.61,6.803
100,0.9,0.05,tournament,ox,inverse,451.77,6.898
100,0.9,0.05,tournament,obx,swap,524.25,5.675
100,0.9,0.05,tournament,obx,inverse,451.77,5.653
100,0.9,0.05,ranking,ox,swap,673.56,8.22
100,0.9,0.05,ranking,ox,inverse,611.76,8.195
100,0.9,0.05,ranking,obx,swap,498.32,4.891
100,0.9,0.05,ranking,obx,inverse,458.57,4.91
100,0.9,0.2,default,ox,swap,847.08,10.206
100,0.9,0.2,default,ox,inverse,656.38,10.407
100,0.9,0.2,default,obx,swap,760.38,6.147
100,0.9,0.2,default,obx,inverse,652.23,6.32
100,0.9,0.2,truncation,ox,swap,522.73,7.248
100,0.9,0.2,truncation,ox,inverse,466.51,7.259
100,0.9,0.2,truncation,obx,swap,556.27,6.03
100,0.9,0.2,truncation,obx,inverse,451.77,6.315
100,0.9,0.2,tournament,ox,swap,515.58,8.401
100,0.9,0.2,tournament,ox,inverse,460.67,8.017
100,0.9,0.2,tournament,obx,swap,551.14,6.75
100,0.9,0.2,tournament,obx,inverse,504.15,7.106
100,0.9,0.2,ranking,ox,swap,655.8,10.12
100,0.9,0.2,ranking,ox,inverse,647.17,10.236
100,0.9,0.2,ranking,obx,swap,659.32,6.307
100,0.9,0.2,ranking,obx,inverse,561.79,5.252
200,0.7,0.05,default,ox,swap,567.22,13.314
200,0.7,0.05,default,ox,inverse,644.72,14.403
200,0.7,0.05,default,obx,swap,523.15,8.035
200,0.7,0.05,default,obx,inverse,638.35,8.081
200,0.7,0.05,truncation,ox,swap,577.56,9.614
200,0.7,0.05,truncation,ox,inverse,459.89,9.677
200,0.7,0.05,truncation,obx,swap,639.38,8.103
200,0.7,0.05,truncation,obx,inverse,506.92,7.943
200,0.7,0.05,tournament,ox,swap,493.87,11.506
200,0.7,0.05,tournament,ox,inverse,458.53,11.54
200,0.7,0.05,tournament,obx,swap,538.42,9.742
200,0.7,0.05,tournament,obx,inverse,485.12,11.303
200,0.7,0.05,ranking,ox,swap,501.23,12.053
200,0.7,0.05,ranking,ox,inverse,458.53,12.073
200,0.7,0.05,ranking,obx,swap,499.62,8.118
200,0.7,0.05,ranking,obx,inverse,488.9,8.094
200,0.7,0.2,default,ox,swap,668.77,13.269
200,0.7,0.2,default,ox,inverse,512.59,13.406
200,0.7,0.2,default,obx,swap,693.9,8.199
200,0.7,0.2,default,obx,inverse,536.62,8.302
200,0.7,0.2,truncation,ox,swap,505.89,9.883
